Continent,Country,Province-chi,Town-chi,Location Chinese,Province-eng,Town-eng,Location English,Current Location,Latitude,Longitude,Name-chi,Type-chi,Business Name Chinese,Name-eng,Type-eng,Business Name English,Sector,Sub-Category,Address
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792121,-122.419325,和利,洗衣,和利洗衣,Wo Lee,Laundry,"Wo Lee, Laundry",Other Services,Laundry Services,"1624 Larkin St,"
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,和隆,鞋靴,和隆鞋靴,Wo Lung,Shoes,"Wo Lung, Shoes",Retail Trade,Footwear Stores,738 Washington St.
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.793291,-122.428158,會來居,酒晏,會來居酒晏,Woey Loy Guey,Restaurant,"Woey Loy Guey, Restaurant",Accommodation & Foodservice,Foodservice,699 Jackson St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.793291,-122.428158,會新樓,酒樓,會新樓酒樓,Woey Sun Low,Restaurant,"Woey Sun Low, Restaurant",Accommodation & Foodservice,Foodservice,631 Jackson St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.795265,-122.405551,黃煥記,木工,黃煥記木工,Wong Fuen Kee,Carpenter,"Wong Fuen Kee, Carpenter",Construction,Carpenter,271½ Brenham Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.791288,-122.429757,黃天章,閣,黃天章閣,Wong Hen Chong Gock,(Society),"Wong Hen Chong Gock, (Society)",Other Services,Overseas Chinese Associations,"Room 25, 835 Clay St"
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.785634,-122.414367,黃添,醫館,黃添醫館,WONG HIM,Chinese Herb Company,"WONG HIM, Chinese Herb Company",Retail Trade,Health and Personal Care Stores,1268 O'Farrell St
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.794315,-122.406865,黃江夏堂,(會館),黃江夏堂(會館),WONG KUNG HER TONG,BENEVOLENT ASSOCIATION,"WONG KUNG HER TONG, BENEVOLENT ASSOCIATION",Other Services,Overseas Chinese Associations,143 Waverly Place
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,黃文光,公所,黃文光公所,Wong Mon Quong,Society,"Wong Mon Quong, Society",Other Services,Overseas Chinese Associations,912 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.79626,-122.406718,黃南記,整鏢,黃南記整鏢,Wong Nam Kee,Watchmaker,"Wong Nam Kee, Watchmaker",Other Services,Repair and Maintenance,852 Grant Ave
North America,United States 美國,加罅寬尼省,舊金山大埠 又名三藩斯市哥埠,加罅寬尼省 舊金山大埠 又名三藩斯市哥埠,California,San Francisco,"San Francisco, California",,37.792374,-122.428297,黃仕,木工,黃仕木工,Wong Sue Kee,Carpenter,"Wong Sue Kee, Carpenter",Construction,Carpenter,842 Washington St
